Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:20:04:15.597,61,0.9367035627,0.3257817626,0.0933056995,0.0000000000,0.0000000000,0.0459367000,0.0000000000,0.9367583394,0.3262236714,0.0273466427,0.0000000000,0.0000000000,0.0459379405,0.0000000000,0.2537860274,0.0000000000,0.0409444012,0.5002329350,0.0925247446,0.1768866330,0.0827327445,0.0079696747,0.0000000000,0.0500497669,0.0557092167,0.0000000000,0.0000000000,0.0599127784,0.0589727983,0.3266712427,0.3405594826,0.0278266072,0.0186329912,0.0650422126,0.0563736595,0.0467343032,0.0421159826,0.4288548231,0.4115161896,0.2848537862,0.2694874108,0.1161049157,0.1160235256,0.1712118536,0.0000000000,0.0000000000,0.0142142633,0.1009407863,0.1018235534,0.2582024634,0.2790469527,0.0000008237,0.0063710730,0.1974526197,0.0186824016,-0.0163744837,0.1993058175,-0.0033072797,0.0558710769,0.1993239522,0.0112799611
23:20:04:16.597,61,0.9460778236,0.3377711475,0.0921395421,0.0000000000,0.0000000000,0.0346908160,0.0000000000,0.9461129904,0.3382144868,0.0278854333,0.0000000000,0.0000000000,0.0346908309,0.0000000000,0.2245645523,0.0000000000,0.0433336757,0.4708480835,0.0881818235,0.1774242818,0.0825594217,0.0075126039,0.0000000000,0.0553254485,0.0611440316,0.0000000000,0.0000000000,0.0624202006,0.0617897585,0.2992896140,0.3224675655,0.0277642384,0.0184608661,0.0682711601,0.0572656356,0.0526433550,0.0479297303,0.3805587590,0.3714436591,0.3194635808,0.3191859424,0.1541155428,0.1540696025,0.1825515479,0.0000000000,0.0000000000,0.0143115725,0.1010106206,0.1023551151,0.3246574998,0.3488738239,0.0000004561,0.0049167015,0.2047300488,0.0209142324,-0.0166719463,0.2066326141,-0.0034946739,0.0550897568,0.2066507190,0.0115428548
23:20:04:17.597,61,0.9504037499,0.3274191618,0.0927882940,0.0000000000,0.0000000000,0.0295695867,0.0000000000,0.9504423141,0.3278611302,0.0263334718,0.0000000000,0.0000000000,0.0295689926,0.0000000000,0.2037741095,0.0000000000,0.0444466174,0.4174241126,0.0824297518,0.1754059345,0.0820444003,0.0067017367,0.0000000000,0.0591242574,0.0656188652,0.0000000000,0.0000000000,0.0637296066,0.0632328987,0.2800794542,0.2959760427,0.0279464964,0.0182806738,0.0758069307,0.0617001392,0.0640568435,0.0604596734,0.3666192293,0.3592893183,0.3276292086,0.3271710277,0.2786984146,0.2786898017,0.1872025281,0.0000000000,0.0000000000,0.0143627878,0.1143472344,0.1296319664,0.3455494344,0.3711960316,0.0000004377,0.0052326652,0.2103195637,0.0200317819,-0.0157646313,0.2003041953,-0.0032004984,0.0555500202,0.2003222108,0.0112729045
23:20:04:18.597,61,0.9526977539,0.3229259849,0.0883380026,0.0000000000,0.0000000000,0.0272060800,0.0000000000,0.9527364969,0.3232997954,0.0306989048,0.0000000000,0.0000000000,0.0272052046,0.0000000000,0.1446121037,0.0000000000,0.0449316725,0.3565540016,0.0771537647,0.1517197788,0.0806320682,0.0058398289,0.0000000000,0.0593595020,0.0655754507,0.0000000000,0.0000000000,0.0646219701,0.0642513931,0.2353847325,0.2491014451,0.0285544377,0.0181642007,0.0894789621,0.0718056709,0.0726947337,0.0691390634,0.2916264534,0.2852483392,0.2898769081,0.2856800854,0.4305782914,0.4305827916,0.1765841693,0.0000000000,0.0000000000,0.0142841311,0.1490674615,0.1599428654,0.3437469602,0.3645856082,0.0000001812,0.0026522325,0.2111645192,0.0195987206,-0.0183883291,0.1975264698,-0.0036799454,0.0529151000,0.1975444108,0.0105858753
23:20:04:19.597,61,0.9522857070,0.3230962157,0.0714485273,0.0000000000,0.0000000000,0.0322891586,0.0000000000,0.9523029923,0.3232367933,0.0470699705,0.0000000000,0.0000000000,0.0322885104,0.0000000000,0.0992415696,0.0000000000,0.0449187681,0.2421779335,0.0748633072,0.1410133690,0.0799700543,0.0049521062,0.0000000000,0.0600969493,0.0657643750,0.0000000000,0.0000000000,0.0650846735,0.0648705661,0.1815749258,0.2005066574,0.0380306244,0.0182134435,0.1347368509,0.1005961522,0.0923005939,0.0872995481,0.1947667748,0.1935638189,0.2498261780,0.2457353473,0.5722281337,0.5722426176,0.1661352813,0.0000000000,0.0000000000,0.0143246986,0.2245235294,0.2385258824,0.3458371460,0.3607914448,0.0000002224,-0.0027903044,0.2056603730,0.0219371058,-0.0281945579,0.1975336671,-0.0056421543,0.0427975617,0.1975515187,0.0085636303
23:20:04:20.597,61,0.9387747645,0.2869587243,0.0470319651,0.0000000000,0.0000000000,0.0714727119,0.0000000000,0.9386965036,0.2867886126,0.0700092837,0.0000000000,0.0000000000,0.0714712664,0.0000000000,0.0527698956,0.0000000000,0.0272218101,0.0887027606,0.0739244819,0.0632858202,0.0793742090,0.0041186037,0.0000000000,0.0385365933,0.0239684321,0.0000000000,0.0000000000,0.0601126403,0.0615099519,0.1266832799,0.1358945817,0.0681464672,0.0181525629,0.2382042706,0.1686302722,0.1573724896,0.1518199742,0.0704085305,0.0711999610,0.1116049290,0.1108129546,0.7181563973,0.7181782126,0.1497453004,0.0000000000,0.0000000000,0.0147550879,0.3150895536,0.3345620036,0.3473994732,0.3600407839,0.0000002149,-0.0137430737,0.1828766018,0.0269797985,-0.0421112515,0.1753462553,-0.0074583273,0.0282898024,0.1753640175,0.0050117909
23:20:04:21.598,61,0.9334493279,0.1895717978,0.0043410361,0.0000000000,0.0000000000,0.1779779792,0.0000000000,0.9332392812,0.1891282052,0.1089645848,0.0000000000,0.0000000000,0.1779277921,0.0000000000,0.0362073109,0.0000000000,0.0192747507,0.0395310894,0.0336581804,0.0317760110,0.0787380040,0.0031408316,0.0000000000,0.0066859070,0.0000000000,0.0000000000,0.0077317934,0.0528215207,0.0547425300,0.0637535080,0.0704135820,0.0770349056,0.0180956014,0.4166717231,0.3385253251,0.3753826022,0.3570842147,0.0275702197,0.0298193749,0.0572560318,0.0564549081,0.8481225967,0.8481416702,0.1099288166,0.0000000000,0.0000000000,0.0207883213,0.4238902628,0.4402332902,0.4252873957,0.4192852676,0.0000014457,-0.0218396578,0.1378545016,0.0355339311,-0.0661183000,0.1157859862,-0.0076842154,0.0026340275,0.1158032194,0.0003063994
23:20:04:22.597,61,0.9287585616,0.1574254632,0.0000000000,0.0773337707,0.0000000000,0.2856797874,0.0000000000,0.9284185171,0.1565552950,0.1867058575,0.0000000000,0.0000000000,0.2854890525,0.0000000000,0.0276240595,0.0000000000,0.0131211840,0.0164737590,0.0231163222,0.0183071923,0.0894892812,0.0027721904,0.0000000000,0.0000000000,0.0000000000,0.0032024314,0.0198893920,0.0481728092,0.0490550026,0.0489688255,0.0513335094,0.0804779008,0.0178290214,0.4777225852,0.4061400592,0.4304197431,0.4108601809,0.0063583567,0.0092143351,0.0338798985,0.0328297354,0.8949159384,0.8949348330,0.0817366987,0.0000000000,0.0000000000,0.0267504435,0.4582343996,0.4743643999,0.4770798087,0.4346877933,0.0000026006,-0.0406655036,0.0836963058,0.0497570634,-0.1135287136,0.0962557420,-0.0109376963,-0.0470220819,0.0962724984,-0.0045392672
23:20:04:23.598,61,0.9205486178,0.1633473635,0.0000000000,0.1669895202,0.0000000000,0.3779734671,0.0000000000,0.9199685454,0.1618844420,0.2742651105,0.0000000000,0.0000000000,0.3777514100,0.0000000000,0.0231119040,0.0000000000,0.0102302097,0.0110486429,0.0177978855,0.0117117073,0.0924944803,0.0024176512,0.0000000000,0.0127082253,0.0000000000,0.0000000000,0.0129621094,0.0468919389,0.0474684201,0.0475163609,0.0482559279,0.0821683407,0.0177735183,0.5123476386,0.4379526973,0.4958937466,0.4745208025,0.0000000000,0.0034690674,0.0278871041,0.0251404829,0.9193094373,0.9193280935,0.0687437803,0.0000000000,0.0000000000,0.0325163305,0.4768215716,0.4960052967,0.5292276740,0.4483626783,0.0000036278,-0.0831345245,0.0371745676,0.0525441431,-0.1667128205,0.1002845615,-0.0166958440,-0.1014989465,0.1003011689,-0.0101968572
23:20:04:24.598,61,0.9123114347,0.1788079292,0.0000000000,0.1992523819,0.0000000000,0.4526127875,0.0000000000,0.9115148187,0.1770133823,0.3048622310,0.0000000000,0.0000000000,0.4524390996,0.0000000000,0.0210564043,0.0000000000,0.0080467537,0.0111381905,0.0152318971,0.0115333144,0.1508000493,0.0019317667,0.0000000000,0.0198651664,0.0000000000,0.0000000000,0.0018291455,0.0471377783,0.0471273363,0.0524592772,0.0505714454,0.0837852135,0.0178618152,0.6224372983,0.5433140993,0.5965901613,0.5771985054,0.0000000000,0.0039306507,0.0311375242,0.0282070301,0.9323476553,0.9323657751,0.0619820394,0.0000000000,0.0000000000,0.0427542478,0.5444180965,0.5815474391,0.6110352874,0.5308327675,0.0000037295,-0.1319400370,-0.0066201570,0.0453282036,-0.1851294190,0.1100187078,-0.0203308612,-0.1209874451,0.1100351363,-0.0133334845
