Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
10:26:30:19.601,61,0.915121913,0.2217834443,0.09447161109999999,0.0,0.0,0.13234668970000002,0.0,0.9150986075,0.22212065760000002,0.0169480331,0.0,0.0,0.1323160827,0.0,0.0802459121,0.0,0.0426424928,0.17347078030000002,0.1533989906,0.23063856359999999,0.1512541175,0.0,0.0255793463,0.032565426099999996,0.0167003628,0.0,0.0,0.044911995499999996,0.046055316900000004,0.23377893870000002,0.25016161800000003,0.08207447080000001,0.028555771299999998,0.1864000559,0.1042452678,0.09575662759999999,0.0975866243,0.1820273101,0.1809287816,0.0542884097,0.0618650354,0.5202509761,0.5201685429,0.5605660081,0.0,0.0,0.0219186917,0.19840577239999999,0.2134793252,0.2650719285,0.2743945718,4.8412e-06,0.0103584211,0.0577809662,-0.0923074782,-0.0102578038,0.13569299880000002,-0.0014004931,0.0571800321,0.1357029676,0.0078030721999999995
10:26:30:20.603,61,0.9102331995999999,0.2269515544,0.0940254852,0.0,0.0,0.1380650699,0.0,0.9101871252,0.2272920907,0.0174853299,0.0,0.0,0.1380275935,0.0,0.08358487490000001,0.0,0.0423590392,0.19503086809999998,0.1598002166,0.2449667156,0.15186034140000002,0.0,0.0257336162,0.0157618206,0.0088970773,0.0,0.0,0.044938247699999996,0.0460547246,0.2397280484,0.2566427588,0.0826046243,0.0289167352,0.18604548280000002,0.1043844074,0.0962296799,0.0980703384,0.18226511780000001,0.1812130511,0.05411651730000001,0.0616736263,0.5278796554,0.5277961493,0.5583177209,0.0,0.0,0.022028492799999997,0.1996571422,0.21422910690000002,0.2659660876,0.2751947641,5.252899999999999e-06,0.011516931499999999,0.0595914945,-0.0927786157,-0.0105783874,0.1388526708,-0.0014783217000000001,0.056885220099999995,0.13886292279999998,0.0079459604
10:26:30:21.604,61,0.9085458517,0.2284986973,0.093625769,0.0,0.0,0.1412398815,0.0,0.9084937572,0.2288376689,0.0178867523,0.0,0.0,0.1411987692,0.0,0.09792983529999999,0.0,0.042282246100000004,0.23091652989999997,0.163250789,0.2670099735,0.1523619592,0.0,0.025802638399999998,0.006602273299999999,0.0,0.0,0.0074497871,0.0450123921,0.0460795313,0.25052654739999997,0.2644228637,0.08257620780000001,0.029281975699999997,0.1726686507,0.1040333658,0.09634441140000001,0.09822394699999999,0.22647367420000003,0.22249855100000002,0.0543285869,0.0619287267,0.5321854353000001,0.5321028829,0.5572465658,0.0,0.0,0.0220770333,0.20124579969999998,0.21577593679999998,0.2679395974,0.2766670883,5.6845e-06,0.0124009047,0.062058229000000006,-0.09363760800000001,-0.0108198095,0.1397972107,-0.0015224796,0.056635886399999995,0.139807567,0.0079656923
10:26:30:22.606,61,0.9078634381,0.22363266350000002,0.0950842649,0.0,0.0,0.1430605203,0.0,0.90781039,0.223978281,0.0162855834,0.0,0.0,0.14301863310000001,0.0,0.1110513508,0.0,0.042206645,0.253131479,0.1676717401,0.2776519656,0.15333157779999998,0.0,0.0256972611,0.0,0.0,0.0071160188,0.021625191000000002,0.04513541980000001,0.046144146500000004,0.25439661739999997,0.2672322989,0.0822185352,0.0297530685,0.1622114778,0.1024135575,0.0963939875,0.0983271524,0.24865844850000002,0.24237540359999998,0.0548058413,0.062469679900000005,0.5380304456,0.537961483,0.5549342632,0.0,0.0,0.0220860727,0.2022594362,0.21704617140000002,0.2722818255,0.2812119126,4.7193e-06,0.012632438000000001,0.0640094131,-0.0940359309,-0.0098553225,0.1368272454,-0.0013569327,0.0575419292,0.1368373334,0.0079188636
10:26:30:23.607,61,0.9073821902,0.22181075809999998,0.09571136529999999,0.0,0.0,0.14837601779999998,0.0,0.9073296189,0.2221592963,0.0155864507,0.0,0.0,0.1483359039,0.0,0.1182940006,0.0,0.042239077400000005,0.2653925717,0.1695301086,0.2856229246,0.1553808749,0.0,0.0255341828,0.0,0.0,0.0119476477,0.0269859806,0.0451987199,0.0461390354,0.25664415960000003,0.2686813176,0.0805387273,0.030234012799999998,0.1523512751,0.0997907966,0.0962669551,0.0982701182,0.2806592882,0.27417683600000003,0.0559558682,0.0642305613,0.5562273264,0.5561657548,0.5531433225,0.0,0.0,0.022078692900000002,0.2055524439,0.2216932029,0.2739853561,0.2829039395,3.9863e-06,0.012916781,0.0660073087,-0.0943198875,-0.0094336765,0.1357154995,-0.001288195,0.057930268300000004,0.1357255876,0.0079066698
10:26:30:24.609,61,0.9073304534000001,0.21845772859999998,0.0971483067,0.0,0.0,0.1550395191,0.0,0.9072798490999999,0.2188142687,0.0140114734,0.0,0.0,0.1549831182,0.0,0.12202429029999999,0.0,0.042494788799999995,0.2803530395,0.1709365845,0.30112046,0.16404609380000001,0.0,0.025419220299999996,0.0,0.0,0.014732277,0.030020616899999998,0.045189295,0.0460486561,0.2577472031,0.2691062391,0.0773920715,0.0306628942,0.1457028836,0.09742270410000001,0.09609011560000001,0.0981736705,0.2955053151,0.2884486914,0.0577035658,0.0668037385,0.5741078258,0.5740502477,0.548723042,0.0,0.0,0.022089287599999997,0.20766577120000002,0.2248203903,0.2751015127,0.2840091586,3.1773e-06,0.012666016799999999,0.066459924,-0.0944943801,-0.0084827738,0.1336708814,-0.001140688,0.0588162914,0.1336808056,0.0079050576
10:26:30:25.611,61,0.9074431062,0.21598500010000002,0.0986112058,0.0,0.0,0.1615837216,0.0,0.9073951244,0.216350913,0.012343128200000001,0.0,0.0,0.16149947050000002,0.0,0.1239263639,0.0,0.042956151100000006,0.28877469899999997,0.1752479672,0.31134390829999997,0.1760812104,0.0,0.0253188275,0.0,0.0,0.0161232874,0.0317382067,0.0451430976,0.045901220300000004,0.258077085,0.2687139809,0.0751784667,0.031056568,0.1426644325,0.096127741,0.0959868506,0.0981708616,0.3022356629,0.29494172329999996,0.0587328374,0.0681892186,0.5965358019,0.5964785814,0.5456603765,0.0,0.0,0.022112488700000002,0.2130886167,0.22968009109999998,0.2778977752,0.2861909568,3.1999e-06,0.012228617399999999,0.0655942038,-0.0947390199,-0.0074742343,0.1321649849,-0.0009936147,0.0597139932,0.13217470050000002,0.007934081400000001
10:26:30:26.612,61,0.9071959257,0.2184743136,0.09865437449999999,0.0,0.0,0.1648378372,0.0,0.9071500897,0.2188447118,0.012349256299999998,0.0,0.0,0.1647425145,0.0,0.1260013282,0.0,0.0435756035,0.3072581291,0.1799800545,0.320861876,0.18008662760000002,0.0,0.0251269229,0.0,0.0,0.017114652299999998,0.033081173900000004,0.0450847968,0.0457285382,0.2583184242,0.2684072554,0.0733669624,0.0314292759,0.1385977864,0.0940481126,0.0955430865,0.09782449160000001,0.32347291710000003,0.3140148818,0.060745012,0.0706601888,0.6088953018,0.6088404654999999,0.5446463227,0.0,0.0,0.022051505699999998,0.2150840908,0.2315382361,0.2807682157,0.2882834673,4.2819e-06,0.0121057509,0.06532522290000001,-0.0954967141,-0.007476422,0.1336884052,-0.0010054988000000001,0.0597279929,0.1336981952,0.0080285016
10:26:30:27.614,61,0.9069418907,0.21942214670000001,0.09931255130000001,0.0,0.0,0.1673117876,0.0,0.9068978429000001,0.2197999507,0.011576595700000001,0.0,0.0,0.1672078371,0.0,0.1272760332,0.0,0.0443215705,0.3191242814,0.18245756629999998,0.3325173855,0.18253457550000002,0.0,0.024934779900000002,0.0,0.0,0.0180090163,0.034419741499999996,0.0450185686,0.0455448925,0.258230418,0.267877996,0.0712918192,0.0317451321,0.1353813112,0.0926417038,0.0950798318,0.0974315032,0.3339033127,0.3237446845,0.0643188581,0.07480813559999999,0.6264294982,0.6263746023,0.5411542654,0.0,0.0,0.0219757948,0.216143623,0.2324795276,0.2827232182,0.28973031039999997,5.1139e-06,0.0116862422,0.0648222268,-0.09609161320000001,-0.0070080901,0.1342714727,-0.0009466747,0.0601217784,0.1342814416,0.0081170471
10:26:30:28.615,61,0.9062436223,0.2229086757,0.09999156740000001,0.0,0.0,0.170114547,0.0,0.9061971307,0.2232987732,0.010782063,0.0,0.0,0.17000985149999998,0.0,0.1292266101,0.0,0.045412525499999995,0.33992636200000004,0.18364776670000002,0.3434049785,0.1836706102,0.0,0.024696346400000003,0.0,0.0,0.0185046867,0.035521328399999996,0.045006100099999995,0.045417740899999996,0.2584789395,0.2677797079,0.0683782101,0.032069336600000005,0.1260626763,0.0889601484,0.0938499719,0.0962901339,0.38551467659999994,0.3738657236,0.06978409740000001,0.0807673857,0.6409477592,0.6408948898,0.5322374105,0.0,0.0,0.0218221489,0.2162851095,0.2325083464,0.2836446762,0.2904431224,5.7424e-06,0.0115681291,0.06549219790000001,-0.09692244230000001,-0.006525206800000001,0.1364084035,-0.0008956486,0.0605152883,0.1364184469,0.0083017377
