Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
10:36:01:20.202,61,0.8520416617000001,0.3038501143,0.1100014076,0.0,0.0,0.3953714371,0.0,0.8517435789,0.3045327365,0.0,0.0056895362,0.0,0.39473465090000004,0.0,0.0909272283,0.0,0.0534715727,0.34868857259999997,0.1380014122,0.38193702700000004,0.2580118775,0.0,0.009552340999999999,0.0,0.0,0.0102211637,0.0581005812,0.019032096499999998,0.0192610491,0.16809062660000001,0.1726204455,0.047033339699999996,0.0196483657,0.0828074217,0.0704066902,0.0625638887,0.0627367795,0.5059617758,0.48436364530000003,0.14807763699999998,0.1605986506,0.8645033240000001,0.8644750118000001,0.1409609318,0.0,0.0,0.0174900964,0.18470366300000002,0.1992704868,0.35697558520000006,0.3542960882,0.000491297,-0.0199175104,-0.010953657299999999,-0.0602342337,0.003415575,0.18602956829999998,0.0006428293,0.0660401583,0.18602171539999998,0.012418923899999998
10:36:01:21.204,61,0.8523526192,0.3693717122,0.1250275522,0.0,0.0,0.3896980882,0.0,0.8521952033,0.37038981909999996,0.0,0.0218278076,0.0,0.389351368,0.0,0.09705476460000001,0.0,0.0518511385,0.3521752357,0.1390125304,0.3774487674,0.3142279088,0.0,0.0095170187,0.0,0.0,0.0197377168,0.0667974278,0.0195334256,0.01978801,0.1696683019,0.1741805524,0.0443142615,0.0215087906,0.1015839055,0.0724498108,0.0564320385,0.0567450188,0.43844929340000005,0.41789558530000004,0.1535678953,0.1660502106,0.8737671971,0.8737590313,0.14204691349999998,0.0,0.0,0.013676418000000001,0.19973661010000002,0.2206888646,0.3852108121,0.3802790344,0.0009227578,-0.0224043131,0.0235214885,-0.0515907705,0.012993985800000002,0.2262777239,0.0029913874,0.0744354054,0.22627379,0.017118752
10:36:01:22.205,61,0.8514170647,0.347954005,0.116760686,0.0,0.0,0.3764539361,0.0,0.8512972593000001,0.34881186490000005,0.0,0.013203453300000001,0.0,0.37637940049999996,0.0,0.1007686704,0.0,0.0514857732,0.3603768349,0.1457861513,0.39151942729999994,0.32160136100000003,0.0,0.009437684,0.0,0.0,0.0485220291,0.07285545019999999,0.0200314857,0.0203048233,0.170516938,0.1749912947,0.0432973318,0.0240182783,0.10311298070000001,0.0722608417,0.0535618775,0.053926296500000005,0.4224227071,0.4031575918,0.14856496449999998,0.1611978114,0.8769021034000001,0.8769022226000001,0.1429490596,0.0,0.0,0.0125124939,0.2030481249,0.2258544266,0.3853475153,0.3817459941,0.0014667,-0.023607578100000002,0.0404816233,-0.047606539,0.007883125,0.21308378879999998,0.0017056403,0.0697172806,0.2130785882,0.015070883600000001
10:36:01:23.207,61,0.8512532711,0.3406856954,0.10828696939999999,0.0,0.0,0.35254144670000004,0.0,0.8511484861,0.3414192796,0.0,0.0041206274,0.0,0.352571696,0.0,0.10452129689999999,0.0,0.0495331362,0.38093140719999996,0.1509962976,0.40115332600000003,0.3131368756,0.0,0.0092255138,0.0,0.0,0.057043362400000006,0.07795647530000001,0.0205803197,0.0208808407,0.1710226387,0.17562538390000001,0.043121367699999996,0.0254006516,0.1067644432,0.07740709929999999,0.0524323732,0.052814252699999995,0.4017331004,0.38324463369999995,0.1479762197,0.1607305855,0.8784816861,0.8784857392000001,0.1442564726,0.0,0.0,0.012364853200000001,0.20471043879999998,0.22844001649999998,0.3827057779,0.3803937435,0.0013545285999999998,-0.025937063599999997,0.061716411299999996,-0.043201621600000004,0.0024626013,0.20856182280000002,0.0005211828,0.0647194088,0.20855613050000002,0.013686375700000001
10:36:01:24.209,61,0.8610899448,0.40320262310000005,0.12439060210000001,0.0,0.0,0.34145134689999995,0.0,0.8610749840999999,0.4042927325,0.0,0.02134059,0.0,0.3415146172,0.0,0.1063525677,0.0,0.0440679602,0.3717361093,0.1528184265,0.3760601878,0.3180118203,0.0,0.009220756600000001,0.0,0.0,0.0606160238,0.0801684111,0.0210084319,0.0213696137,0.1685762405,0.1753954589,0.0453773066,0.0267776884,0.11085473,0.0799004361,0.0535927191,0.0539222471,0.3404121399,0.32111093399999996,0.1445128173,0.15733809769999998,0.8804599047,0.8804644942000001,0.1450473666,0.0,0.0,0.0132187717,0.2083467543,0.23392280940000001,0.39086019990000004,0.3914273381,0.0012226492,-0.028011715,0.081078358,-0.0430397317,0.0126406588,0.2469885498,0.0031870771,0.0736884624,0.2469866425,0.0185604673
10:36:01:25.210,61,0.8694714308,0.3355689347,0.10900571199999999,0.0,0.0,0.3244489133,0.0,0.8694543839,0.33630189299999996,0.0,0.0045142653000000005,0.0,0.3244909644,0.0,0.1080359742,0.0,0.0416801386,0.3644591272,0.1524541676,0.3705440462,0.3189168274,0.0,0.0093202367,0.0,0.0,0.0620551482,0.0814718232,0.0215102006,0.0219524242,0.16786970199999998,0.1755503416,0.046611134000000005,0.0275900383,0.1263647974,0.092092514,0.057616863399999996,0.05790140480000001,0.3228249848,0.3033492565,0.1438641846,0.1568036526,0.8815165758,0.8815216422,0.1458576322,0.0,0.0,0.0142535428,0.2120950818,0.23866145309999998,0.3958170414,0.3975175023,0.0007848392,-0.0292827655,0.1007876918,-0.043980062,0.0026996217,0.20543588699999998,0.0005625345999999999,0.0651916936,0.20543001589999998,0.0135735041
10:36:01:26.212,61,0.8727509975,0.2587698996,0.08634076269999999,0.0,0.0,0.3065214753,0.0,0.8727384806,0.2591227293,0.020038926999999998,0.0,0.0,0.3065398932,0.0,0.11048772189999999,0.0,0.0401642323,0.3641521633,0.1525460184,0.39905574920000003,0.3012850881,0.0,0.0095289834,0.0,0.0,0.0731198341,0.0897661075,0.0221785735,0.022819319700000004,0.1754368991,0.1842151582,0.0475060791,0.0280461106,0.1403599977,0.1051589176,0.0591335408,0.05948096889999999,0.31320428850000004,0.29356271030000003,0.14376217130000002,0.1570641249,0.8820177912999999,0.8820229173,0.15332072970000002,0.0,0.0,0.015057135400000001,0.2129817009,0.2399655879,0.3918468058,0.3969451487,0.0002441767,-0.0295727607,0.1178455055,-0.0463057123,-0.012088044499999999,0.1583007276,-0.0019296429000000002,0.052084405,0.1582899988,0.0083100442
10:36:01:27.213,61,0.8927252293000001,0.285081327,0.08561734859999999,0.0,0.0,0.2879873514,0.0,0.8927223682,0.2854574025,0.0202428289,0.0,0.0,0.2880113721,0.0,0.1111950874,0.0,0.034824080800000004,0.3490223289,0.1512436569,0.40158462520000004,0.338965416,0.0,0.009777094200000001,0.0,0.0,0.0753152519,0.0913215429,0.022798724500000003,0.0235485081,0.1774673611,0.1866103113,0.0485181771,0.0282301344,0.1620366722,0.11780864,0.0627025217,0.06369079650000001,0.2730785012,0.2507647276,0.14409159119999998,0.1579834819,0.8826788068000001,0.8826838136,0.15822869539999998,0.0,0.0,0.0167203192,0.21398296949999998,0.2427887917,0.3943259418,0.40003228189999995,8.13806e-05,-0.0312033556,0.1319647133,-0.048864513600000006,-0.0121781072,0.1743890643,-0.0021454662,0.051508903499999995,0.17437992989999998,0.0090700239
10:36:01:28.215,61,0.9004173279000001,0.28924599289999997,0.0762223601,0.0,0.0,0.2701044977,0.0,0.9004076718999999,0.2895211577,0.029721757400000003,0.0,0.0,0.27013427019999997,0.0,0.1112685502,0.0,0.0311245527,0.3305407763,0.1482209861,0.3982544243,0.3474529088,0.0,0.009826364,0.0,0.0,0.07400889690000001,0.0911805108,0.0233960487,0.0242206305,0.1780747324,0.1870788336,0.05020798,0.028212774500000003,0.1823327988,0.1336800754,0.0673690811,0.0687924474,0.2527489364,0.2328428328,0.1451012939,0.1595155299,0.8835191726999999,0.8835231066,0.16908964510000002,0.0,0.0,0.0182618797,0.2168518454,0.2476137429,0.40306717159999994,0.40531057119999997,4.5201e-05,-0.033418118999999996,0.14596194029999998,-0.0509413704,-0.0178727489,0.1768869609,-0.0031946662,0.045836158099999996,0.1768780649,0.0081899799
10:36:01:29.216,61,0.9048774242000001,0.2795867324,0.0641996339,0.0,0.0,0.24952659010000003,0.0,0.9048531651,0.2797223628,0.0421120003,0.0,0.0,0.2495511174,0.0,0.1111357808,0.0,0.02852281,0.310166657,0.1460909396,0.37928038840000006,0.3492551744,0.0,0.009749433,0.0,0.0,0.0730024502,0.0907881334,0.0240288712,0.0248936173,0.17658004160000002,0.18313069640000001,0.0574615225,0.0280938037,0.22917336230000002,0.1666221023,0.0763788372,0.07842049,0.20070979,0.19327719510000002,0.14527870710000002,0.1599085629,0.8841075897,0.8841110468000001,0.190158993,0.0,0.0,0.019833577800000002,0.23161640760000002,0.2639055252,0.4119227231,0.40962928530000003,3.9477199999999995e-05,-0.0361848362,0.158798039,-0.052695646900000004,-0.025350039799999998,0.17092816530000002,-0.004375237,0.0386464559,0.17091870309999999,0.006668726
