Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:19:47:16.524,61,0.1313853562,0.1492925286,0.1228880957,0.0000000000,0.0000000000,0.0425378978,0.0000000000,0.1313812733,0.1496839076,0.0002839842,0.0000000000,0.0000000000,0.0425237902,0.0000000000,0.0108341221,0.0000000000,0.0178438313,0.0368719175,0.0431788936,0.0285883658,0.1024582013,0.0000000000,0.0072796722,0.0000000000,0.0020122665,0.0101622567,0.0000000000,0.0147111397,0.0152112655,0.0439888164,0.0482258312,0.0230524112,0.0142324567,0.0921626091,0.0559827983,0.0314432867,0.0312655084,0.0229183454,0.0205768775,0.0113739930,0.0123920469,0.0139930481,0.0136550721,0.0258369092,0.0000000000,0.0000000000,0.0187875684,0.0311612785,0.0284813866,0.0367730074,0.0419583842,0.0000000044,0.0096141053,-0.0248047356,0.0089215590,-0.0001727514,0.0914367065,-0.0000158400,0.0747555271,0.0914537460,0.0068493062
23:19:47:17.525,61,0.1330053955,0.1516572535,0.1219076961,0.0000000000,0.0000000000,0.0422940925,0.0000000000,0.1330012381,0.1520482898,0.0013016617,0.0000000000,0.0000000000,0.0422800407,0.0000000000,0.0109136971,0.0000000000,0.0180876777,0.0374475308,0.0438129902,0.0293340366,0.1058032513,0.0000000000,0.0077212476,0.0000000000,0.0010041820,0.0118292160,0.0000000000,0.0147560891,0.0152581809,0.0443599671,0.0486602075,0.0231915675,0.0143138962,0.0928366929,0.0562385917,0.0317233913,0.0315374509,0.0231620390,0.0208335649,0.0114730177,0.0125177680,0.0136745824,0.0133431964,0.0261325780,0.0000000000,0.0000000000,0.0190800168,0.0312882848,0.0286141392,0.0371952429,0.0424435474,0.0000000044,0.0090022683,-0.0267721061,0.0099151572,-0.0007917127,0.0928810537,-0.0000737473,0.0741492510,0.0928981528,0.0069017755
23:19:47:18.525,61,0.1339219660,0.1526264250,0.1214700863,0.0000000000,0.0000000000,0.0423363000,0.0000000000,0.1339178979,0.1530170441,0.0017112276,0.0000000000,0.0000000000,0.0423220247,0.0000000000,0.0110235792,0.0000000000,0.0183723066,0.0381927304,0.0449751467,0.0318012424,0.1139859483,0.0000000000,0.0080458345,0.0000000000,0.0000389614,0.0129559971,0.0000000000,0.0148210125,0.0153199863,0.0448970646,0.0492687784,0.0233458951,0.0144049115,0.0938630700,0.0565515421,0.0320684724,0.0318716019,0.0234768018,0.0211474616,0.0116007766,0.0126638506,0.0136467535,0.0133173075,0.0264832564,0.0000000000,0.0000000000,0.0194034576,0.0316239893,0.0289276317,0.0376923233,0.0430065989,0.0000000048,0.0076648556,-0.0269266050,0.0103326831,-0.0010407664,0.0934728459,-0.0000975677,0.0738790035,0.0934899598,0.0069207279
23:19:47:19.525,61,0.1347518712,0.1556729227,0.1200657636,0.0000000000,0.0000000000,0.0422405638,0.0000000000,0.1347479522,0.1560617387,0.0031646534,0.0000000000,0.0000000000,0.0422261283,0.0000000000,0.0111580500,0.0000000000,0.0186788011,0.0395355597,0.0463838167,0.0335567929,0.1179971844,0.0000000000,0.0084470715,0.0000000000,0.0000000000,0.0159523375,0.0040624104,0.0149047812,0.0154032940,0.0455341488,0.0501366630,0.0235701259,0.0145254899,0.0949208289,0.0568695366,0.0323841982,0.0321767405,0.0237611737,0.0214399714,0.0117066745,0.0127914120,0.0130576054,0.0127358530,0.0269525386,0.0000000000,0.0000000000,0.0197170135,0.0319294184,0.0292106923,0.0381396972,0.0435123220,0.0000000043,0.0074972995,-0.0254109818,0.0105215413,-0.0019243988,0.0953328758,-0.0001840162,0.0730120316,0.0953499898,0.0069765560
23:19:47:20.525,61,0.1428051740,0.1625872850,0.1191154048,0.0000000000,0.0000000000,0.0420639068,0.0000000000,0.1427938789,0.1629871279,0.0042774174,0.0000000000,0.0000000000,0.0420495756,0.0000000000,0.0112857819,0.0000000000,0.0188912544,0.0404164679,0.0474032797,0.0345908105,0.1196214259,0.0000000000,0.0087538790,0.0000000000,0.0000000000,0.0171987191,0.0056461249,0.0149868876,0.0154884001,0.0461426601,0.0508643612,0.0237753373,0.0146229090,0.0954806209,0.0570253842,0.0325854868,0.0323528461,0.0240747184,0.0217639394,0.0118475389,0.0129518919,0.0129699046,0.0126471044,0.0273451768,0.0000000000,0.0000000000,0.0198715460,0.0322069302,0.0294697993,0.0386731513,0.0440957211,0.0000000048,0.0066790739,-0.0228868853,0.0107116364,-0.0025999860,0.0995635167,-0.0002597222,0.0724042505,0.0995806977,0.0072275489
23:19:47:21.525,61,0.1605982035,0.1690333784,0.1182963327,0.0000000000,0.0000000000,0.0419721454,0.0000000000,0.1605875343,0.1694434285,0.0052173212,0.0000000000,0.0000000000,0.0419579819,0.0000000000,0.0114724841,0.0000000000,0.0191376377,0.0439401865,0.0523930676,0.0382559411,0.1223729029,0.0000000000,0.0090733133,0.0000000000,0.0000000000,0.0181374233,0.0068278112,0.0151534965,0.0156618264,0.0476815142,0.0530951098,0.0240820684,0.0147976018,0.0959503129,0.0570615120,0.0328510515,0.0325823203,0.0246025566,0.0222916976,0.0120385718,0.0131658558,0.0134199793,0.0130864903,0.0277415235,0.0000000000,0.0000000000,0.0200488567,0.0325819515,0.0298119783,0.0397211835,0.0455944873,0.0000000047,0.0061160284,-0.0205343291,0.0110520460,-0.0031700227,0.1035076380,-0.0003292978,0.0718775615,0.1035248935,0.0074612480
23:19:47:22.525,61,0.1707271785,0.1768164188,0.1164081842,0.0000000000,0.0000000000,0.0419890806,0.0000000000,0.1707170606,0.1772308499,0.0072436766,0.0000000000,0.0000000000,0.0419749431,0.0000000000,0.0117511488,0.0000000000,0.0194058735,0.0496076494,0.0597343110,0.0439167693,0.1264604926,0.0000000000,0.0095306607,0.0000000000,0.0000000000,0.0185975563,0.0074245594,0.0154110948,0.0159374718,0.0507829674,0.0575528257,0.0245641600,0.0150565738,0.0964513645,0.0570616424,0.0332027823,0.0328906812,0.0259400345,0.0235457513,0.0122996802,0.0134590492,0.0137623157,0.0134157818,0.0283426829,0.0000000000,0.0000000000,0.0202298053,0.0331779979,0.0303445682,0.0423360467,0.0488694385,0.0000000046,0.0064589824,-0.0194679964,0.0112407096,-0.0043990025,0.1082652286,-0.0004781271,0.0706946254,0.1082825512,0.0076785041
23:19:47:23.525,61,0.1798968762,0.1857030392,0.1140293032,0.0000000000,0.0000000000,0.0422140509,0.0000000000,0.1798917651,0.1861188859,0.0096860342,0.0000000000,0.0000000000,0.0421996973,0.0000000000,0.0120640015,0.0000000000,0.0196622554,0.0529225320,0.0635300130,0.0473841690,0.1281933188,0.0000000000,0.0100496700,0.0000000000,0.0000000000,0.0187797546,0.0076365704,0.0157061741,0.0162556898,0.0532857031,0.0606971569,0.0251238160,0.0153519167,0.0969486311,0.0570635982,0.0336185321,0.0332611464,0.0270662662,0.0246442724,0.0125811771,0.0137746967,0.0143172648,0.0139554283,0.0291986875,0.0000000000,0.0000000000,0.0203971490,0.0341142192,0.0310019515,0.0443801992,0.0512349382,0.0000000037,0.0056176772,-0.0188379269,0.0108950157,-0.0058786613,0.1136955470,-0.0006712686,0.0692081228,0.1137129366,0.0078974832
23:19:47:24.526,61,0.2005024552,0.2018564939,0.1109108627,0.0000000000,0.0000000000,0.0434813350,0.0000000000,0.2004913986,0.2022811174,0.0128705408,0.0000000000,0.0000000000,0.0434628278,0.0000000000,0.0125175146,0.0000000000,0.0200089514,0.0611784533,0.0726784393,0.0611482672,0.1487858444,0.0000000000,0.0110359406,0.0000000000,0.0000000000,0.0192052368,0.0080137793,0.0160857551,0.0166693833,0.0578101240,0.0668950379,0.0263904948,0.0157557819,0.0990405157,0.0572669953,0.0343033187,0.0338382013,0.0302943550,0.0279699229,0.0130130211,0.0142552983,0.0178583469,0.0173683297,0.0313515924,0.0000000000,0.0000000000,0.0206599478,0.0384913720,0.0342621952,0.0490924753,0.0561976768,0.0000000035,0.0053863181,-0.0169000924,0.0100321462,-0.0078022173,0.1235702857,-0.0009690497,0.0672363937,0.1235877872,0.0083456794
23:19:47:25.526,61,0.2559039295,0.2267961651,0.1063154861,0.0000000000,0.0000000000,0.0512747280,0.0000000000,0.2558833957,0.2272277325,0.0173269082,0.0000000000,0.0000000000,0.0512196347,0.0000000000,0.0149631929,0.0000000000,0.0228580125,0.1185636148,0.0923685059,0.1605388522,0.2007614076,0.0000000000,0.0127081964,0.0000000000,0.0000000000,0.0194624569,0.0080320230,0.0179823563,0.0190859288,0.0802454650,0.0968881845,0.0272495486,0.0163057055,0.1017316356,0.0584097877,0.0375608839,0.0356411859,0.0812680572,0.0800368637,0.0266868267,0.0308435410,0.0272482745,0.0264579207,0.0426997580,0.0000000000,0.0000000000,0.0209677517,0.0585631356,0.0504617989,0.0631266609,0.0712147877,0.0000000030,0.0041826824,-0.0141144395,0.0087297214,-0.0104826009,0.1388132274,-0.0014645148,0.0643213019,0.1388308257,0.0089811590
